vcc 0 0 0 vcc_model vcc_type global_master
adc/adc/ifreezelogic/bfm21/mqn2 130 200 680 nsvt n ec0bfm201al1n02x5
adc/adc/ifreezelogic/bfm21/mqp1 131 200 680 psvt p ec0bfm201al1n02x5
adc/adc/ifreezelogic/bfm21/mqp2 132 200 680 psvt p ec0bfm201al1n02x5
adc/adc/ifreezelogic/nand0/mqn1 133 200 680 nsvt n ec0nand02al1n02x5
adc/adc/ifreezelogic/nand0/mqn2 134 200 680 nsvt n ec0nand02al1n02x5
adc/adc/ifreezelogic/nand0/mqp1 135 200 680 psvt p ec0nand02al1n02x5
adc/adc/ifreezelogic/nand0/mqp2 136 200 680 psvt p ec0nand02al1n02x5
adc/adc/ifreezelogic/intie/mqn1 137 200 680 nsvt n ec0inv000al1n02x5
adc/adc/ifreezelogic/intie/mqp1 138 200 680 psvt p ec0inv000al1n02x5
adc/adc/ifreezelogic/fmw21/mg1.qna 139 200 1360 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg1.qpa 140 200 1360 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg10.qns 141 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg10.qpsb 142 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg101.qna 143 200 1360 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg101.qpa 144 200 1360 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg12.qns 145 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg12.qpsb 146 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg124.qnck 147 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg124.qnd 148 200 680 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg124.qpckb 149 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg124.qpd 150 200 680 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg13.qnck 151 200 1360 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg13.qnd 152 200 1360 nsvt n ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg13.qpckb 153 200 1360 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg13.qpd 154 200 1360 psvt p ec0fmw203al1n04x5
adc/adc/ifreezelogic/fmw21/mg14.qns 155 200 680 nsvt n ec0fmw203al1n04x5
