vcc 0 0 0 vcc_model vcc_type global_master
qnb0[1]/mqn2 138 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb0[1]/mqn3 139 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qnb0[1]/mqn4 140 200 1360 navt n ip74xddrtgldll_e8xltc422tn2000na1unx_2x
qpb1[0]/mqn2 141 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[0]/mqp0 142 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[0]/mqp1 143 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[0]/mqp2 144 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qninb[2]/mqn0 145 200 2040 navt n e8xltp620tn2000na1unx
qninb[2]/mqn1 146 200 2040 navt n e8xltp620tn2000na1unx
qnb3[4]/mqn2 147 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[4]/mqn3 148 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[4]/mqn4 149 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[4]/mqn5 150 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qpb1[1]/mqn2 151 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[1]/mqp0 152 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[1]/mqp1 153 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[1]/mqp2 154 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qnobcb0dum/mqn1 155 200 1360 navt n e8xlth4hdnn1200na1unx
qninb[3]/mqn0 156 200 2040 navt n e8xltp620tn2000na1unx
qninb[3]/mqn1 157 200 2040 navt n e8xltp620tn2000na1unx
qnb3[5]/mqn2 158 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[5]/mqn3 159 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[5]/mqn4 160 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[5]/mqn5 161 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qpb1[2]/mqn2 162 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[2]/mqp0 163 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[2]/mqp1 164 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[2]/mqp2 165 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qnb3[6]/mqn2 166 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[6]/mqn3 167 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[6]/mqn4 168 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[6]/mqn5 169 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qpb1[3]/mqn2 170 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[3]/mqp0 171 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[3]/mqp1 172 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qpb1[3]/mqp2 173 200 1360 pavt p ip74xddrtgldll_e8xltc422tn2000pa1unx_2x
qnocb0dum/mqn1 174 200 1360 navt n e8xlth4hdnn1200na1unx
qnb3[7]/mqn2 175 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[7]/mqn3 176 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
qnb3[7]/mqn4 177 200 2040 navt n ip74xddrtgldll_e8xltc622tn2000na1unx_2x
